"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Costa Rica","CRI","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","7.34717","","4.88507","3.92334","","","3.5658","","3.05414","3.1185","","","","","","3.3116","3.83658","","","4.86788","4.39395","4.70612","5.06924","5.06167","4.89459","","4.65441","4.73357","5.04484","6.2891","6.8118","6.61587","6.86299","6.92006","7.01163","7.5892","",
"Caribbean small states","CSS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","3.63144","4.24897","5.22879","5.85833","6.02652","","","3.76808","","5.4574","5.7666","5.87391","5.579825","4.60398","","3.94086","4.691925","4.216645","4.38307","3.33666","3.21403","3.97603","3.65034","3.704925","4.143095","2.43892","2.75612","3.885375","4.240025","4.485765","3.696725","3.91255","4.61642","","5.49022","6.19132","6.19851","6.37133","6.26769","6.11948","6.25986","6.02607","5.44429","",
"Cuba","CUB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","8.36909","","","","","","","","","","","7.14497","","7.07477","5.61948","","","","6.20866","6.75508","7.70486","8.35785","9.5712","9.94078","10.26828","10.55769","9.05729","11.86829","14.05908","13.12516","12.83727","","","","","","",
"Curacao","CUW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9299","","","",
"Cayman Islands","CYM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","4.33502","3.8197","3.38549","3.31234","3.35313","3.42601","3.79132","3.73178","","3.60191","3.58696","3.48897","3.44871","3.37547","3.37627","3.33924","3.57539","3.7803","4.09555","4.15997","3.74813","","","","4.79691","5.01779","5.14965","5.6183","6.71737","6.17329","6.34274","6.39555","6.34744","6.80899","7.30415","6.66191","6.64467","","6.43942","","","",
"Czech Republic","CZE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.79021","4.20129","4.6976","4.56385","4.28387","","3.60358","3.69324","3.6613","3.75679","3.98297","4.15004","4.02052","3.89869","4.22392","3.875","3.75273","4.18041","4.07352","4.28408","4.27011","4.11198","","","",
"Germany","DEU","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.41382","4.33488","4.42079","4.48319","","4.45345","","","","","","","","4.2793","4.34303","4.40954","4.88048","4.91368","4.8078","4.9394","4.94445","","","",
"Djibouti","DJI","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.62948","9.66","7.80543","8.4476","8.88985","9.26467","8.36589","8.27878","8.40625","","","4.49022","","","","","","",
"Dominica","DMA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.17833","","","","","","","","","7.16059","4.99184","","","","","","","","","","","","","","","","","",
